Opening,Plot,Tree.Num,Year,Type,Value
264,1,1,1963,ew,11.292
264,1,1,1964,ew,0.665
264,1,1,1965,ew,0.811
264,1,1,1966,ew,0.696
264,1,1,1967,ew,0.913
264,1,1,1968,ew,0.614
264,1,1,1969,ew,0.429
264,1,1,1970,ew,0.481
264,1,1,1971,ew,0.678
264,1,1,1972,ew,0.331
264,1,1,1973,ew,0.677
264,1,1,1974,ew,0.514
264,1,1,1975,ew,0.465
264,1,1,1976,ew,0.313
264,1,1,1977,ew,0.98
264,1,1,1978,ew,1.316
264,1,1,1979,ew,1.2
264,1,1,1980,ew,1.333
264,1,1,1981,ew,1.098
264,1,1,1982,ew,1.197
264,1,1,1983,ew,1.466
264,1,1,1984,ew,1.266
264,1,1,1985,ew,1.033
264,1,1,1986,ew,1.614
264,1,1,1987,ew,1.133
264,1,1,1988,ew,1.131
264,1,1,1989,ew,1.179
264,1,1,1990,ew,0.933
264,1,1,1991,ew,0.581
264,1,1,1992,ew,0.899
264,1,1,1993,ew,0.932
264,1,1,1994,ew,1.261
264,1,1,1995,ew,1.096
264,1,1,1996,ew,1.279
264,1,1,1997,ew,0.55
264,1,1,1998,ew,0.849
264,1,1,1999,ew,1.033
264,1,1,2000,ew,1.499
264,1,1,2001,ew,1.016
264,1,1,2002,ew,1.1
264,1,1,2003,ew,1.05
264,1,1,2004,ew,0.933
264,1,1,2005,ew,0.55
264,1,1,2006,ew,0.451
264,1,1,2007,ew,0.417
264,1,1,2008,ew,0.733
264,1,1,2009,ew,0.517
264,1,1,2010,ew,0.867
264,1,1,2011,ew,0.783
264,1,1,2012,ew,0.717
264,1,1,2013,ew,0.767
264,1,1,2014,ew,0.717
264,1,1,2015,ew,1.049
264,1,1,2016,ew,1.283
264,1,1,2017,ew,0.966
264,1,1,2018,ew,0.783
264,1,1,1963,lw,2.112
264,1,1,1964,lw,1.713
264,1,1,1965,lw,1.754
264,1,1,1966,lw,1.426
264,1,1,1967,lw,1.279
264,1,1,1968,lw,0.965
264,1,1,1969,lw,0.677
264,1,1,1970,lw,1.079
264,1,1,1971,lw,0.976
264,1,1,1972,lw,0.93
264,1,1,1973,lw,0.908
264,1,1,1974,lw,0.812
264,1,1,1975,lw,0.682
264,1,1,1976,lw,0.876
264,1,1,1977,lw,0.781
264,1,1,1978,lw,0.966
264,1,1,1979,lw,0.767
264,1,1,1980,lw,0.516
264,1,1,1981,lw,0.65
264,1,1,1982,lw,0.582
264,1,1,1983,lw,0.633
264,1,1,1984,lw,0.633
264,1,1,1985,lw,0.783
264,1,1,1986,lw,0.383
264,1,1,1987,lw,0.4
264,1,1,1988,lw,0.483
264,1,1,1989,lw,0.515
264,1,1,1990,lw,0.35
264,1,1,1991,lw,0.349
264,1,1,1992,lw,0.316
