"","1-1","1-2","10-1","10-2","2-1","2-2","3-1","3-2","4-1","4-2","6-1","6-2","7-1","7-2","8-1","9-1","9-2"
"1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.733,NA,NA,NA,NA,NA,NA
"1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA
"1945",NA,NA,NA,NA,NA,NA,NA,NA,4.212,NA,1.612,NA,NA,NA,NA,NA,NA
"1946",NA,NA,NA,NA,NA,NA,NA,NA,2.222,NA,1.304,NA,NA,NA,NA,NA,NA
"1947",NA,NA,NA,NA,NA,NA,NA,NA,1.38,NA,1.808,NA,NA,NA,NA,NA,NA
"1948",NA,NA,NA,NA,NA,NA,NA,NA,1.88,NA,1.024,NA,NA,NA,NA,NA,NA
"1949",NA,NA,NA,NA,NA,NA,NA,NA,1.472,NA,1.099,NA,NA,NA,NA,NA,NA
"1950",NA,NA,NA,NA,NA,NA,NA,NA,1.663,NA,1.405,NA,NA,7.796,NA,NA,NA
"1951",NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,1.547,NA,NA,2.166,NA,NA,NA
"1952",NA,NA,NA,NA,NA,NA,NA,NA,1.714,NA,1.414,NA,NA,2.086,NA,NA,NA
"1953",NA,NA,NA,NA,NA,NA,NA,9.684,1.409,NA,1.534,NA,NA,1.878,NA,6.032,NA
"1954",NA,NA,NA,NA,NA,NA,NA,2.417,1.457,NA,0.997,NA,NA,2.009,6.884,1.937,NA
"1955",NA,NA,9.976,NA,5.833,NA,NA,1.934,1.466,NA,1.107,NA,NA,1.589,2.086,1.54,NA
"1956",NA,NA,2.336,NA,1.296,NA,NA,1.693,1.919,NA,1.064,NA,NA,2.156,2.207,1.388,NA
"1957",NA,NA,1.826,6.483,1.504,NA,NA,1.357,1.676,NA,1.386,NA,NA,1.675,2.113,1.113,NA
"1958",NA,NA,1.717,2.222,1.37,NA,10.916,1.596,1.627,NA,1.009,NA,NA,1.429,1.73,1.302,NA
"1959",NA,NA,1.515,3.016,1.448,NA,2.204,1.617,1.591,NA,1.143,NA,NA,1.641,1.34,2.352,NA
